author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Schember, John","John Schember","calibre Quick Start Guide","/Users/natkite/Calibre Library/John Schember/Quick Start Guide (1)/cover.jpg","2022-08-03T20:40:08-05:00","epub","","1","","eng","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","55527","","Quick Start Guide","Quick Start Guide","2b442e72-eda0-4d12-916c-126a1eaa36d3"
"Frase, Peter","Peter Frase","""It is easier to imagine the end of the world,"" the theorist Fredric Jameson has remarked, ""than to imagine the end of capitalism. 
"" Jacobin Editor Peter Frase argues that technological advancements and environmental threats will inevitably push our society beyond capitalism, and Four Futures imagines just how this might look. Extrapolating possible futures from current changes the world is now experiencing, and drawing upon speculative fictions to illustrate how these futures might be realized, Four Futures examines communism, rentism, socialism, and exterminism-or in other words, the socialisms we may reach if a resurgent Left is successful and the barbarisms we may be consigned to if those movements fail.
","/Users/natkite/Calibre Library/Peter Frase/Four Futures_ Life After Capitalism (2)/cover.jpg","2022-08-03T20:40:31-05:00","azw3, epub","9781781688144","2","google:nmznDwAAQBAJ,isbn:9781781688144","eng","Calibre Library","2016-10-31T23:00:00-05:00","Verso Books","","","1.0","251003","Political Science, Political Economy, Social Science, Future Studies, Utopias, Nature, Ecology, Public Policy, Economic Policy","Four Futures: Life After Capitalism","Four Futures: Life After Capitalism","ee818546-a671-4b58-8cd1-e09e59883a1f"
"Dewdney, A. K.","A. K. Dewdney","A mind-bending excursion to the limits of science and mathematics Are some scientific problems insoluble? In Beyond Reason, internationally acclaimed math and science author A. K. Dewdney answers this question by examining eight insurmountable mathematical and scientific roadblocks that have stumped thinkers across the centuries, from ancient mathematical conundrums such as ""squaring the circle,"" first attempted by the Pythagoreans, to G?del's vexing theorem, from perpetual motion to the upredictable behavior of chaotic systems such as the weather. A. K. Dewdney, PhD (Ontario, Canada), was the author of Scientific American's ""Computer Recreations"" column for eight years. He has written several critically acclaimed popular math and science books, including A Mathematical Mystery Tour (0-471-40734-8); Yes, We Have No Neutrons (0-471-29586-8); and 200% of Nothing (0-471-14574-2).
","/Users/natkite/Calibre Library/A. K. Dewdney/Beyond Reason_ Eight Great Problems That Reveal the Limits of Science (3)/cover.jpg","2022-08-03T20:40:44-05:00","azw3, pdf","9780471652427","3","google:qz83v0SodCkC,isbn:9780471652427","eng","Calibre Library","2004-05-09T23:00:00-05:00","John Wiley & Sons","","","1.0","1157985","Mathematics, History & Philosophy, General","Beyond Reason: Eight Great Problems That Reveal the Limits of Science","Beyond Reason: Eight Great Problems That Reveal the Limits of Science","b6c63308-b7c0-448a-8955-01bdf02bbd9a"
"Berne, Eric","Eric Berne","","/Users/natkite/Calibre Library/Eric Berne/Games People Play_ The Psychology of Human Relationships (4)/cover.jpg","2022-08-03T21:01:58-05:00","azw3, epub","9780802141828","4","google:xcxKAQAAIAAJ,isbn:9780802141828","eng","Calibre Library","1977-05-14T23:00:00-05:00","Grove Press","","","1.0","489671","","Games People Play: The Psychology of Human Relationships","Games People Play: The Psychology of Human Relationships","e310f010-18e1-4996-91df-121647b26bf8"
"Lau, Hakwan","Hakwan Lau","","/Users/natkite/Calibre Library/Hakwan Lau/In Consciousness We Trust (5)/cover.jpg","2022-08-03T21:02:33-05:00","azw3, epub","","5","","eng","Calibre Library","2022-08-14T19:00:00-05:00","Oxford University Press","","","1.0","5111196","","In Consciousness We Trust","In Consciousness We Trust","3d34f9ef-3ec4-453d-98df-8f5580c3badf"
"Thoreau, Henry David","Henry David Thoreau","SUMMARY: Henry David Thoreau's masterwork, Walden, is a collection of his reflections on life and society. His simple but profound musings-as well as ""Civil Disobedience,"" his protest against the government's interference with civil liberty-have inspired many to embrace his philosophy of individualism and love of nature.","/Users/natkite/Calibre Library/Henry David Thoreau/Walden, or, Life in the woods_ and, _On the duty of civil disobedience_ (6)/cover.jpg","2022-08-03T21:03:04-05:00","azw3, epub","9780451529459","6","isbn:9780451529459","eng","Calibre Library","2004-08-01T00:00:00-05:00","PENGUIN group","","","1.0","498158","Non-Fiction, Philosophy, Political Science, Sociology","Walden, or, Life in the woods: and, ""On the duty of civil disobedience""","Walden, or, Life in the woods: and, ""On the duty of civil disobedience""","f0fb7703-14da-43c4-82ea-8a7956dc2b67"
"libgen.lc","libgen.lc","","/Users/natkite/Calibre Library/libgen.lc/Peter Sterling, Simon Laughlin - Principles of Neural Design (2015, The MIT Press) (7)/cover.jpg","2022-08-03T21:04:46-05:00","azw3, pdf","","7","","","Calibre Library","0100-12-31T19:00:00-05:00","","","","1.0","54899985","","Peter Sterling, Simon Laughlin - Principles of Neural Design (2015, The MIT Press)","Peter Sterling, Simon Laughlin - Principles of Neural Design (2015, The MIT Press)","8b5223f9-ff12-44b4-ab7b-c1a44c9d82e0"
"Schaer, Hans.","Schaer, Hans.","","/Users/natkite/Calibre Library/Schaer, Hans_/Religion and the Cure of Souls In Jung's Psychology (8)/cover.jpg","2022-08-03T21:05:31-05:00","azw3, epub","9781315009148","8","isbn:9781315009148","eng","Calibre Library","0100-12-31T19:00:00-05:00","Taylor & Francis Ltd","","","1.0","449855","","Religion and the Cure of Souls In Jung's Psychology","Religion and the Cure of Souls In Jung's Psychology","e77f2df6-09dd-4d57-81dc-6afc1a2238a3"
"Han, Byung-Chul","Byung-Chul Han","","/Users/natkite/Calibre Library/Byung-Chul Han/The Burnout Society (9)/cover.jpg","2022-08-03T21:13:47-05:00","azw3, epub","","9","","eng","Calibre Library","2015-11-15T16:00:00-05:00","Stanford University Press","","","1.0","329948","","The Burnout Society","Burnout Society, The","7501fccb-8276-48a3-b9b7-44083c8175e3"
"Gilman, Charlotte Perkins","Charlotte Perkins Gilman","<p><I>Women and Economics</I> (1898) is a sociological and economic study by American author and feminist Charlotte Perkins Gilman. Inspired by her work as a social reformer and advocate for women's suffrage, Gilman sought to write a work of nonfiction that explained the need to introduce women into the workforce while alleviating their responsibilities as wives and mothers. <I>Women and Economics</I>, arguably Gilman's most important work, employs the theories of Karl Marx, Charles Darwin, and Thorstein Veblen to not only assess the damage done to women and human society by inequality, but to propose realistic ways of eliminating gender oppression while benefitting humanity at large.</p><p>Observing that women in their roles as wives and mothers tend to work harder for longer hours than men while being excluded from the work force, Gilman proposes that the progress of human society depends upon the equality of men and women in all aspects of working and domestic life. She...","/Users/natkite/Calibre Library/Charlotte Perkins Gilman/Women and Economics (10)/cover.jpg","2022-08-03T21:16:09-05:00","azw3, epub","","10","","eng","Calibre Library","0100-12-31T19:00:00-05:00","West Margin Press","","","1.0","2958792","","Women and Economics","Women and Economics","6c5bd318-3e05-4eb5-885a-25fc716b3448"
